Player,Age,Team,Minutes,Offense Position,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Avg Speed Defense,Avg Speed Offense,Minutes Consistency,True Usage%,Years of Experience,Height,Weight,DHO Coverage Aggression,DHO Coverage Versatility,Defensive Positional Versatility,Foul Trouble%,Fouls Committed / 75,Fouls Drawn / 75,Guarded Ball Dominance%,Guarded O-LEBRON,Guarded Off-Ball%,Guarded USG%,Matchup Difficulty,Off-Ball Coverage Aggression,Off-Ball Coverage Versatility,Overall Coverage Versatility,Overall Coverage Aggression,P&R Coverage Aggression,P&R Coverage Versatility,Shot Location Versatility,Stable Avg 2PT Shot Distance,3PT Foul Rate%,3PT Openness Rating,3PT Pull Up Openness Rating,3PT Pull Up Shot Creation,3PT Pull Up Shot Making,3PT Pull Up Shot Making Efficiency,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making,3PT Shot Making Efficiency,3PT Pull Up%,3PT Pull Up Talent,3PT Pull Up Shot Quality,3PT Shot Quality,3PT Versatility,3PT Versatility Rating,3PTA Rate%,Avg. 3PT Shot Distance,C&S 3PT Openness Rating,C&S 3PT Shooting Talent,Stable C&S 3PT%,Drive Foul Rate,Floater Talent,Midrange Talent,Post Up Shot Making,Total Iso Impact / 75,Cut FG%,Stable ATB 3PT%,Stable Avg 3PT Shot Distance,Stable Corner 3PT%,Stable NonHeave ATB 3PT%,Stable Pull Up 3PT%,Movement Attack Rate%,Off Screen Poss/ 75 Poss,Finishing Talent,Screening Talent,Playmaking Talent,Stable Bad Pass Turnovers Per 75,Stable Non Bad Pass Turnovers Per 75,Post Up Impact / 75 Poss,Contested OReb%,OReb Per Game,Putback Shot Making,% Rim Shots Contested%,Post Defense,Bad Pass Steals,Pickpocket Rating,Defensive Rebounding Talent,Defensive RAPTOR,Offensive RAPTOR,Multiple Teams
Paul George,33,LAC 2024,2502,PF,Shot Creator,Helper,7.66,2.43,2.00,0.43,3.79,4.65,98.59,45.05,10.00,75.00,194.00,109.45,33.33,72.67,3.08,3.02,3.50,17.79,-0.10,82.21,21.15,0.34,106.10,49.05,97.71,38.93,97.10,41.32,27.14,392.29,0.00,0.09,0.20,-1.38,0.85,0.68,2.79,1.25,2.26,1.93,35.77,1.60,-0.57,-0.85,58.98,1.55,47.57,25.85,-0.55,2.14,42.12,8.04,0.37,0.91,0.51,0.36,79.49,34.48,26.09,37.53,34.61,33.75,5.74,0.85,0.81,-1.65,1.10,0.85,1.41,0.16,62.16,0.50,0.26,39.70,-0.10,65.00,0.72,0.27,-0.29,-0.73,No
Paul Reed,24,PHI 2024,1590,C,Roll + Cut Big,Mobile Big,3.40,0.95,-0.47,1.42,3.78,4.28,98.59,21.82,1.00,77.00,211.00,113.44,49.57,84.00,3.59,4.69,2.25,12.79,-0.10,87.21,19.49,-0.87,96.36,37.31,97.55,39.71,99.52,46.90,35.81,291.42,6.25,0.12,0.00,0.00,0.02,-0.20,-0.77,-0.71,-0.07,-0.40,50.00,-0.40,0.63,0.91,22.08,-0.98,11.88,25.36,0.48,-1.01,37.48,8.33,-0.77,-0.67,0.17,0.04,56.25,34.98,26.64,38.61,34.98,32.91,3.03,0.17,-0.24,-0.95,-0.21,0.43,1.19,0.03,68.91,2.35,0.15,47.80,-0.10,34.00,0.78,0.58,-0.29,-0.73,No
Payton Pritchard,26,BOS 2024,1826,PG,Primary Ball Handler,Chaser,4.74,1.68,2.06,-0.38,3.78,4.22,100.29,33.66,13.00,84.00,270.00,84.75,26.82,58.40,0.00,2.21,1.29,19.20,-0.10,80.80,20.06,-0.60,117.41,45.30,97.49,39.53,100.11,43.14,37.61,1.94,0.00,0.24,0.00,0.00,-0.27,-0.94,0.50,0.31,0.24,0.19,30.63,-0.03,0.22,0.16,46.75,0.23,60.16,26.31,-0.05,0.97,39.92,3.23,-0.43,-0.37,0.00,0.28,83.33,35.15,25.55,39.00,35.14,32.08,4.02,0.11,-0.56,-1.95,0.86,0.48,0.88,0.00,25.71,0.85,0.22,34.60,-0.10,26.00,0.27,0.38,-0.29,-0.73,No
Pete Nance,23,CLE 2024,27,PF,Low Minute,Low Minute,0.03,-0.75,-0.60,-0.16,3.78,4.63,98.59,31.62,5.00,84.00,240.00,94.50,41.94,60.90,0.00,2.88,1.44,9.90,-0.10,90.10,16.23,-0.55,99.67,36.00,97.44,40.63,97.40,43.71,50.83,465.13,1.64,0.39,0.40,-1.08,0.00,0.00,-0.84,-1.18,0.01,-0.13,0.00,0.00,0.00,0.09,12.50,-1.20,16.67,26.30,0.00,-1.20,38.24,0.00,0.00,-0.43,0.00,0.00,0.00,33.62,28.44,37.79,34.64,32.89,0.00,0.00,-0.88,-0.18,-0.11,0.61,1.26,0.00,0.00,0.00,0.00,50.00,-0.10,1.00,0.00,-1.75,-0.29,-0.73,No
Peyton Watson,21,DEN 2024,1488,SF,Athletic Finisher,Wing Stopper,0.38,-2.06,-2.52,0.46,3.78,4.66,98.59,42.42,8.00,79.00,222.00,93.90,33.75,75.70,1.14,3.61,2.07,17.63,-0.10,82.37,21.56,0.39,103.74,43.96,97.41,40.02,101.72,48.95,23.08,202.01,0.00,0.00,0.00,0.00,-0.02,-0.38,-0.92,-0.85,-0.46,-1.48,16.67,-0.53,0.53,0.90,23.63,-1.47,34.00,25.76,0.38,-0.78,35.41,5.08,-0.30,-0.63,0.00,-0.09,67.07,33.06,26.31,37.60,33.43,32.58,15.25,0.11,0.40,-0.47,-0.65,0.44,1.10,0.00,44.64,0.70,-0.23,42.20,-0.10,27.00,0.37,-0.41,-0.29,-0.73,No
Precious Achiuwa,24,NYK 2024,1624,PF-C,Athletic Finisher,Mobile Big,1.34,-1.14,-1.48,0.34,3.78,4.49,88.35,22.09,8.00,82.00,240.00,84.04,20.00,47.10,2.77,3.37,1.98,14.33,-0.10,85.67,20.45,0.04,97.86,37.33,97.29,38.50,101.36,44.64,34.48,65.65,0.00,-0.02,0.00,0.00,-0.07,-0.53,-1.18,-0.95,-0.56,-1.81,20.00,-0.63,-0.91,1.28,22.26,-1.68,20.68,49.21,0.47,-1.23,35.17,8.82,-0.73,-0.86,0.34,0.03,54.88,35.00,27.95,39.00,35.00,32.00,0.00,0.00,1.05,0.68,-0.20,0.60,1.35,-0.02,67.54,2.58,0.16,45.10,-0.10,26.00,0.47,0.66,-0.29,-0.73,No
Quentin Grimes,23,DET 2024,1025,SG,Movement Shooter,Point of Attack,0.51,-1.66,-1.00,-0.66,3.78,4.26,103.05,39.01,6.00,84.00,260.00,93.31,38.94,37.10,0.29,2.77,1.26,21.23,-0.10,78.77,21.93,1.05,104.65,46.67,97.28,41.78,101.74,50.89,16.64,366.70,0.00,0.09,0.15,-0.99,-0.22,-0.88,-0.15,-0.15,-0.48,-1.01,28.85,-0.27,0.81,0.92,42.91,-0.51,73.17,49.93,-0.12,0.16,36.81,6.74,-0.84,-0.67,0.00,0.05,36.36,34.19,27.64,38.00,35.11,32.79,23.36,0.08,0.08,0.18,-0.50,0.35,0.86,0.00,20.00,0.29,-0.65,35.70,-0.10,19.00,0.59,-0.41,-0.29,-0.73,No
R.J. Hampton,22,MIA 2024,76,PG,Low Minute,Low Minute,0.07,-0.97,-0.72,-0.25,3.78,4.05,96.90,28.31,7.00,81.00,289.00,93.57,31.30,45.40,0.00,3.92,0.49,24.03,-0.10,75.97,23.47,0.84,112.73,54.29,97.11,40.71,96.19,44.53,37.20,145.67,0.00,0.32,0.07,-1.07,0.00,0.00,-0.61,-1.04,-0.14,-0.77,0.00,0.00,0.00,0.33,20.00,-1.24,57.14,25.15,-0.01,-0.78,37.24,7.69,-0.65,-0.63,0.00,0.00,0.00,36.43,25.76,36.64,36.35,33.70,4.33,0.31,2.16,-0.94,-0.63,0.97,1.00,0.00,50.00,0.25,0.00,42.90,-0.10,21.00,0.00,-1.57,-0.29,-0.73,No
Rayan Rupert,19,POR 2024,633,SG,Stationary Shooter,Helper,-0.08,-2.68,-2.46,-0.22,3.77,4.51,90.24,14.73,13.00,80.00,240.00,113.49,44.00,74.20,1.90,3.26,1.22,15.61,-0.10,84.39,19.10,-1.06,114.69,58.77,96.79,36.01,90.49,33.84,8.72,3.31,0.00,0.00,0.00,0.00,0.13,0.00,-0.48,-0.53,-0.18,-0.67,46.67,-0.21,0.77,0.89,35.65,-0.61,48.45,24.96,0.16,-0.49,37.44,4.59,-0.44,-0.75,0.00,-0.14,0.00,34.87,28.14,39.34,34.88,33.00,0.00,0.00,0.00,-0.15,0.12,0.75,1.11,0.00,37.50,0.62,-0.26,42.90,-0.10,7.00,0.29,0.03,-0.29,-0.73,No
Reggie Bullock Jr.,32,HOU 2024,418,SF,Off Screen Shooter,Helper,-0.02,-2.55,-2.65,0.09,3.77,4.52,104.01,52.41,6.00,75.00,195.00,113.52,36.19,58.70,0.24,2.51,0.26,15.01,-0.10,84.99,18.87,-1.03,115.01,50.77,96.65,41.72,100.02,50.81,45.32,683.60,0.83,-0.36,0.01,0.63,0.03,-0.21,-0.17,-0.71,0.04,-0.04,50.00,-0.43,1.76,0.77,36.43,-0.27,81.71,24.82,-0.12,0.11,37.99,0.00,-0.74,-0.95,0.00,0.00,66.67,35.73,25.69,37.51,35.75,33.33,24.61,2.12,-0.98,0.25,-0.66,0.70,0.63,0.00,0.00,0.14,1.35,42.60,-0.10,9.00,0.26,-0.19,-0.29,-0.73,No
Reggie Jackson,33,DEN 2024,1817,PG,Primary Ball Handler,Chaser,0.31,-2.19,-0.55,-1.64,3.77,4.71,100.17,23.10,21.00,83.00,240.00,100.10,40.00,40.20,1.27,3.06,1.99,18.80,-0.10,81.20,19.80,-0.76,102.34,45.32,96.53,38.36,96.23,41.92,25.00,15.67,0.00,0.10,0.00,0.00,-0.10,-0.55,0.26,0.56,0.19,0.19,31.43,0.15,-0.32,-0.59,54.34,0.51,37.57,26.00,-0.17,0.06,38.82,3.59,0.81,0.24,3.33,-0.28,68.57,35.42,25.35,37.48,35.38,34.06,5.61,0.16,-0.56,-2.17,0.38,0.94,1.21,0.02,39.39,0.40,-0.25,32.40,-0.10,26.00,0.37,-1.49,-0.29,-0.73,No
Richaun Holmes,30,WAS 2024,554,C-PF,Roll + Cut Big,Mobile Big,0.72,-0.39,-0.82,0.43,3.77,4.53,98.59,27.56,1.00,79.00,235.00,110.12,36.67,81.03,3.79,4.82,2.28,12.48,-0.10,87.52,19.45,-0.79,91.54,28.33,96.39,45.17,98.43,51.64,30.64,969.15,0.43,-0.21,-0.08,-0.07,0.00,0.00,-0.98,-1.27,-0.02,-0.26,0.00,0.00,0.00,-0.13,20.83,-0.96,2.04,24.23,0.15,-1.27,37.95,0.00,-1.26,-0.85,-0.13,0.00,45.71,32.96,26.55,39.19,34.12,32.60,20.39,1.19,-0.07,-0.88,-0.18,0.35,1.28,-0.12,70.42,1.78,0.08,39.60,-0.10,7.00,0.26,-0.19,-0.29,-0.73,No
Ricky Council IV,22,PHI 2024,289,SG,Athletic Finisher,Helper,0.37,-0.40,0.48,-0.87,3.77,4.33,98.59,24.73,2.00,81.00,240.00,87.58,35.87,60.45,0.00,2.10,5.45,16.52,-0.10,83.48,19.84,-0.47,101.45,41.71,96.38,42.80,99.22,53.10,45.51,137.22,1.50,0.10,0.22,-1.57,-0.04,-0.54,-0.49,-0.94,-0.02,-0.28,20.00,-0.62,-0.81,0.21,37.50,-0.35,28.57,25.87,0.35,-0.44,38.04,21.31,-0.32,-0.24,0.00,0.30,62.50,35.00,28.09,39.00,35.00,33.00,0.00,0.00,0.00,-0.15,-0.38,0.32,0.88,0.00,78.57,0.44,0.02,44.90,-0.10,5.00,0.37,-0.87,-0.29,-0.73,No
RJ Barrett,23,TOR 2024,1838,SG,Slasher,Wing Stopper,2.46,-0.32,0.20,-0.52,3.76,4.43,98.59,14.44,9.00,78.00,226.00,118.60,27.27,84.40,0.49,2.54,4.09,17.29,-0.10,82.71,21.13,0.68,102.04,42.50,96.23,37.08,97.04,39.14,28.96,503.94,3.17,0.68,-0.03,-1.01,-0.24,-0.85,-0.74,-0.88,-0.42,-0.81,23.08,-0.74,0.11,1.09,25.78,-1.05,28.41,49.63,0.10,-0.20,37.64,9.79,0.89,0.23,0.54,-0.07,65.79,36.66,25.26,41.61,36.76,33.43,3.44,0.13,-1.07,-0.27,0.10,0.95,1.48,-0.05,49.06,0.91,0.78,37.80,-0.10,23.00,0.16,0.29,-0.29,-0.73,No
Robert Covington,33,PHI 2024,488,SF-PF,Athletic Finisher,Wing Stopper,0.64,-0.36,-1.50,1.14,3.76,4.35,103.31,40.31,9.00,84.00,268.00,89.21,30.85,41.10,2.05,4.27,1.45,17.23,-0.10,82.77,21.88,0.38,110.46,52.22,96.06,30.15,91.88,32.61,16.78,11.93,0.00,0.00,0.00,0.00,0.12,-0.04,-0.47,-0.78,-0.12,-0.50,60.00,-0.44,-0.39,-0.19,32.74,-0.64,57.14,50.75,-0.34,-0.40,37.03,13.51,-0.54,-0.71,1.13,0.00,60.00,34.62,68.04,39.58,34.73,33.45,12.38,0.12,-0.73,-0.06,-0.69,0.22,0.96,0.08,67.74,1.07,0.13,37.90,-0.10,16.00,1.74,0.22,-0.29,-0.73,No
Robert Williams III,26,POR 2024,119,C,Athletic Finisher,Mobile Big,0.15,-0.39,-1.07,0.68,3.76,3.94,100.53,33.42,7.00,84.00,275.00,93.48,35.22,36.50,6.74,5.26,2.48,14.16,-0.10,85.84,21.69,0.04,93.92,31.82,95.95,37.63,79.63,16.67,59.63,122.22,1.67,-0.62,-0.18,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,0.00,0.00,38.00,0.00,0.00,-0.38,0.42,0.04,66.67,35.00,27.95,39.00,35.00,32.00,0.00,0.00,-0.58,-0.12,0.13,0.53,1.41,0.01,81.82,1.83,0.78,37.80,-0.10,7.00,0.00,0.42,-0.29,-0.73,No
Robin Lopez,35,MIL 2024,65,C,Low Minute,Low Minute,0.06,-1.04,-0.74,-0.30,3.76,4.30,98.59,25.76,9.00,76.00,215.00,118.28,26.15,75.91,0.00,3.80,2.17,12.16,-0.10,87.84,16.97,-0.49,85.14,21.33,95.81,37.47,96.51,44.68,44.04,254.22,0.00,0.19,0.15,-0.01,0.00,0.00,-0.57,-1.06,-0.02,-0.43,0.00,0.00,0.00,0.16,15.62,-1.24,42.11,24.56,0.27,-0.67,37.61,0.00,-0.75,-0.43,1.13,0.00,42.86,34.63,26.23,38.37,35.61,32.50,29.08,2.04,-0.67,-0.87,-0.13,0.48,1.21,1.08,33.33,0.19,0.00,27.70,-0.10,1.00,0.00,-1.84,-0.29,-0.73,No
Ron Harper Jr.,23,TOR 2024,4,PF,Low Minute,Low Minute,0.00,-0.71,-0.45,-0.25,3.75,4.19,100.34,26.12,2.00,78.00,210.00,108.31,36.00,49.70,0.00,17.65,0.00,8.01,-0.10,91.99,17.25,-0.09,145.36,20.00,95.57,37.17,96.94,42.31,58.39,778.96,0.64,0.07,0.17,-1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.54,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,33.29,25.89,37.94,33.63,33.45,6.00,0.06,-0.21,-0.15,-0.11,0.70,1.23,0.00,0.00,0.00,0.00,36.40,-0.10,21.00,0.00,-1.97,-0.29,-0.73,No
Royce O'Neale,30,PHO 2024,1954,SF,Movement Shooter,Helper,3.07,0.05,-0.46,0.51,3.75,4.85,98.59,48.12,4.00,74.00,200.00,116.17,30.86,74.83,0.97,3.26,0.90,16.02,-0.10,83.98,20.66,0.03,108.50,50.27,95.35,40.54,95.13,42.50,40.14,124.56,0.00,0.49,-0.05,-1.74,0.13,-0.03,0.04,-0.62,-0.02,-0.23,34.12,-0.15,0.41,0.84,37.15,-0.34,78.29,52.95,0.50,0.36,37.91,5.23,-0.54,-0.91,0.00,0.02,70.59,31.33,26.15,40.80,31.64,32.38,17.60,0.66,-0.72,0.57,0.45,0.61,0.84,0.00,35.00,0.76,-0.13,40.00,-0.10,42.00,0.32,0.52,-0.29,-0.73,No
Rudy Gobert,31,MIN 2024,2593,C,Roll + Cut Big,Anchor Big,8.35,2.69,-0.21,2.90,3.74,4.17,100.40,16.09,4.00,82.00,240.00,94.23,43.67,72.50,2.28,3.48,5.71,13.26,-0.10,86.74,20.27,-0.26,92.08,30.96,95.15,38.35,94.22,40.86,8.74,29.86,0.00,0.00,0.00,0.00,0.00,0.00,-1.05,-1.32,-0.07,-0.37,0.00,0.00,0.00,-0.31,25.00,-0.86,0.49,35.13,0.07,-1.31,37.57,16.67,-0.99,-1.40,0.63,0.02,66.85,36.20,25.25,41.49,36.73,33.51,16.57,1.48,-0.42,1.02,-0.43,0.30,1.43,0.26,66.90,3.74,0.43,41.00,-0.10,42.00,0.15,1.05,-0.29,-0.73,No
Rui Hachimura,25,LAL 2024,1826,PF,Shot Creator,Helper,1.29,-1.31,-0.59,-0.72,3.74,4.45,98.59,34.46,6.00,80.00,226.00,105.02,49.74,72.90,0.11,1.99,1.82,15.14,-0.10,84.86,20.99,0.16,101.34,41.27,95.13,36.00,94.95,38.68,18.63,366.96,0.00,0.00,0.00,0.00,0.01,-0.29,0.04,-0.96,0.46,0.64,50.00,-0.60,-0.65,1.18,19.44,-0.56,34.32,24.65,-0.12,0.61,39.71,11.05,-0.70,-0.32,0.46,-0.11,72.73,35.24,27.07,38.34,35.22,31.00,0.00,0.00,0.00,0.21,0.15,0.25,0.77,0.23,53.45,0.85,0.10,40.60,-0.10,30.00,0.22,-0.44,-0.29,-0.73,No
Russell Westbrook,35,LAC 2024,1529,PG,Shot Creator,Helper,2.27,-0.09,0.57,-0.66,3.74,4.04,100.36,28.79,7.00,82.00,245.00,99.70,46.26,64.00,0.72,2.86,2.88,18.68,-0.10,81.32,21.00,0.14,102.78,44.81,95.01,43.66,94.12,47.34,15.64,58.41,0.00,0.45,0.00,0.00,-0.16,-0.73,-1.24,-0.34,-0.90,-2.28,31.43,-0.41,0.48,1.32,32.37,-1.54,23.23,25.07,0.46,-1.39,33.99,4.32,-0.32,-0.59,-0.03,-0.21,67.92,32.79,28.57,39.03,32.90,30.90,0.00,0.00,-0.38,-0.48,1.24,1.47,1.77,-0.43,56.99,1.37,0.41,33.20,-0.10,53.00,0.49,1.07,-0.29,-0.73,No
Ryan Arcidiacono,29,NYK 2024,45,PG,Low Minute,Low Minute,0.04,-1.07,-0.97,-0.09,3.74,4.33,101.02,23.58,2.00,83.00,260.00,91.81,32.08,46.40,0.00,3.99,1.60,12.96,-0.10,87.04,17.09,-0.62,83.06,20.00,94.91,29.52,91.07,25.00,30.77,2.72,0.00,0.22,0.00,0.00,0.00,0.00,-0.55,-1.04,-0.03,-0.67,0.00,0.00,0.00,0.07,20.83,-1.16,100.00,26.32,0.24,-0.74,37.28,0.00,0.00,0.00,0.00,0.00,0.00,35.40,26.16,41.13,35.37,33.49,10.59,0.85,1.17,-0.07,-0.17,0.74,1.19,0.00,0.00,0.00,0.00,25.00,-0.10,21.00,1.60,-1.62,-0.29,-0.73,No
Ryan Rollins,21,MIL 2024,78,PG,Low Minute,Low Minute,0.13,0.26,-0.08,0.34,3.73,4.20,98.59,28.06,10.00,82.00,245.00,89.71,30.91,61.50,0.00,3.47,6.07,19.25,-0.10,80.75,19.66,-0.37,106.79,42.86,94.79,41.82,94.88,45.25,31.68,755.02,1.04,-0.38,-0.11,-0.80,0.03,-0.24,-0.66,-0.77,0.05,0.04,100.00,-0.56,-0.04,0.09,18.75,-0.88,14.81,49.53,0.00,-1.08,38.33,12.12,-0.55,-0.06,0.00,1.48,0.00,35.00,28.09,39.00,35.00,33.00,0.00,0.00,-0.72,0.21,0.64,0.94,1.44,0.00,0.00,0.15,2.79,46.40,-0.10,6.00,1.72,-1.30,-0.29,-0.73,No
Saben Lee,24,PHO 2024,185,PG,Slasher,Point of Attack,0.27,-0.17,0.17,-0.34,3.73,4.44,98.59,41.10,6.00,81.00,221.00,105.69,40.65,81.30,0.00,2.58,5.36,21.27,-0.10,78.73,20.80,-0.18,91.96,29.52,94.76,38.80,96.81,44.65,23.61,472.66,0.00,0.56,0.00,-1.26,-0.07,-0.73,-0.70,-0.70,-0.18,-1.12,0.00,-0.57,0.79,1.71,23.44,-1.29,29.09,24.57,0.50,-0.87,37.20,8.57,-0.61,-0.53,0.00,0.48,50.00,34.58,27.21,37.87,34.71,33.78,5.48,0.19,-0.49,-0.62,0.88,0.76,1.08,0.00,33.33,0.38,1.79,41.20,-0.10,1.00,1.19,-1.10,-0.29,-0.73,No
Saddiq Bey,24,ATL 2024,2062,SF,Athletic Finisher,Helper,1.83,-1.04,0.70,-1.74,3.73,4.55,98.59,35.43,4.00,75.00,210.00,116.40,22.22,63.80,0.15,1.54,2.43,15.27,-0.10,84.73,20.33,-0.26,101.74,41.31,94.74,36.21,92.47,37.04,26.01,590.82,0.00,-0.13,0.00,0.00,-0.65,-1.50,-1.47,-0.51,-1.43,-1.94,30.43,-0.97,1.13,0.95,40.62,-1.07,51.36,24.77,0.39,-1.12,34.90,15.38,-0.44,-0.86,0.43,0.02,66.67,32.40,26.54,39.24,32.61,33.22,20.50,0.03,-0.06,0.18,-0.23,0.29,0.75,-0.08,50.30,2.65,0.30,35.80,-0.10,28.00,0.40,-0.07,-0.29,-0.73,No
Sam Hauser,26,BOS 2024,1741,SF,Movement Shooter,Helper,3.64,0.87,0.94,-0.07,3.73,4.86,102.08,39.70,10.00,75.00,190.00,115.88,34.65,66.50,0.34,2.13,0.45,15.17,-0.10,84.83,19.41,-0.93,118.71,48.21,94.68,34.00,95.39,38.09,23.11,270.94,0.00,0.51,0.00,-1.24,0.25,0.39,1.45,-0.90,1.29,1.61,41.86,-0.28,-0.48,-0.13,41.54,0.74,83.33,26.01,-0.16,2.85,40.80,2.90,-0.76,-0.78,0.00,0.00,66.67,34.94,25.80,38.30,35.03,34.88,7.44,0.40,-0.53,-0.18,-0.90,0.29,0.56,0.00,26.67,0.57,0.30,38.60,-0.10,25.00,0.32,0.21,-0.29,-0.73,No
Sam Merrill,27,CLE 2024,1069,SG,Off Screen Shooter,Low Activity,1.68,0.05,1.37,-1.32,3.73,4.51,98.59,15.29,2.00,82.00,200.00,102.91,40.00,74.20,0.94,2.55,1.77,16.03,-0.10,83.97,18.42,-1.50,105.84,43.88,94.66,32.01,94.12,37.43,61.09,66.64,0.00,0.36,0.05,-1.09,-0.29,-1.08,1.36,-0.31,0.75,0.98,28.75,-0.34,-0.41,-0.56,56.83,1.00,90.08,25.60,-0.49,2.75,40.97,0.00,-0.70,-0.99,0.00,0.00,50.00,35.17,25.87,38.22,35.28,32.95,6.14,0.84,0.20,-1.37,0.03,0.33,0.59,0.00,27.27,0.36,0.31,35.00,-0.10,11.00,0.29,-0.50,-0.29,-0.73,No
Sandro Mamukelashvili,24,SAS 2024,451,C,Stretch Big,Helper,0.92,0.80,0.13,0.67,3.73,4.19,103.14,28.98,1.00,85.00,250.00,90.63,35.44,52.50,0.00,2.75,2.04,12.51,-0.10,87.49,18.30,-1.19,91.08,30.18,94.62,35.15,93.55,37.27,17.61,76.46,0.00,0.08,0.16,-1.31,0.10,0.08,-0.52,-0.77,-0.18,-0.91,57.14,-0.36,0.32,0.58,26.61,-1.07,41.29,26.59,0.49,-0.38,36.01,9.23,-0.24,-0.38,-0.33,0.01,66.67,35.00,28.48,39.00,35.00,33.00,0.00,0.00,-1.89,-0.95,0.38,0.59,1.06,-0.23,60.00,0.98,0.39,41.30,-0.10,7.00,0.00,0.26,-0.29,-0.73,No
Santi Aldama,23,MEM 2024,1618,PF,Athletic Finisher,Helper,1.30,-1.17,-0.87,-0.30,3.73,4.72,88.81,28.81,1.00,83.00,245.00,104.80,53.75,71.40,0.43,2.06,2.04,13.86,-0.10,86.14,19.57,-0.84,96.34,32.93,94.60,35.43,94.75,38.88,25.24,127.12,1.52,0.67,0.47,-1.56,-0.44,-1.32,-0.64,-0.80,-0.58,-1.05,25.71,-0.95,2.36,0.86,31.29,-0.96,53.52,25.34,0.00,0.18,37.03,4.82,-0.39,-0.45,-0.06,-0.13,61.36,35.00,28.09,39.00,35.00,33.00,37.95,0.02,0.80,-0.60,-0.59,0.55,1.09,-0.09,45.83,1.18,0.08,42.70,-0.10,33.00,0.23,0.39,-0.29,-0.73,No
Sasha Vezenkov,28,SAC 2024,511,PF,Athletic Finisher,Low Activity,0.39,-1.25,-1.01,-0.24,3.73,4.17,96.50,27.20,3.00,77.00,230.00,112.40,35.56,77.50,0.00,2.97,1.20,12.64,-0.10,87.36,17.76,-1.63,107.04,42.27,94.59,40.00,96.56,46.48,20.49,112.35,0.00,0.54,0.29,-1.36,-0.01,-0.40,0.26,-0.89,0.16,0.24,30.77,-0.57,-0.30,-0.67,41.32,0.05,62.83,25.56,-0.11,1.01,37.92,4.17,-0.69,-0.97,-0.11,0.15,66.67,34.00,29.42,39.00,34.00,31.00,0.00,0.00,-0.33,-0.71,-0.23,0.32,0.87,0.00,50.00,0.71,0.37,42.10,-0.10,13.00,0.49,-0.54,-0.29,-0.73,No
Scoot Henderson,19,POR 2024,1765,PG,Primary Ball Handler,Point of Attack,-1.12,-3.51,-1.50,-2.01,3.73,4.31,93.29,11.61,8.00,84.00,255.00,92.13,41.11,62.30,6.57,4.07,4.35,20.39,-0.10,79.61,20.70,0.19,109.23,51.84,94.56,36.53,97.26,42.93,34.69,53.61,0.00,0.10,-0.04,-0.86,-0.47,-1.08,-0.52,1.26,-0.76,-1.36,33.33,0.01,1.99,1.00,55.15,-0.24,33.63,26.41,0.22,-1.22,35.66,6.00,0.22,-0.29,0.00,-0.36,50.00,31.95,26.11,38.45,32.21,31.05,18.05,1.08,-0.47,-2.21,0.27,1.95,2.21,0.00,33.96,0.85,-0.08,39.20,-0.10,26.00,0.46,-0.36,-0.29,-0.73,No
Scottie Barnes,22,TOR 2024,2094,SG,Shot Creator,Wing Stopper,4.96,1.32,0.93,0.38,3.73,4.42,103.04,33.87,9.00,82.00,245.00,93.87,37.66,43.60,0.29,2.06,3.74,17.67,-0.10,82.33,22.06,1.21,100.99,42.58,94.55,44.11,97.89,52.84,14.40,148.30,0.00,-0.09,0.00,0.00,-1.34,-2.69,-0.77,-0.18,-0.64,-1.04,17.46,-1.47,0.79,0.63,38.72,-0.69,31.42,25.90,-0.05,0.02,38.25,6.19,-0.59,-0.14,0.36,-0.43,75.86,33.84,25.69,42.41,34.50,33.70,29.00,4.20,-0.27,-2.03,1.62,1.22,1.57,-0.10,63.83,2.35,0.24,44.00,-0.10,48.00,0.47,1.12,-0.29,-0.73,No
Scotty Pippen Jr.,23,MEM 2024,527,PG,Primary Ball Handler,Point of Attack,0.68,-0.40,-0.92,0.51,3.73,4.50,103.05,45.89,5.00,73.00,195.00,103.86,38.82,45.80,2.47,4.16,4.51,21.86,-0.10,78.14,20.57,-0.02,100.47,42.94,94.51,38.79,96.26,42.95,45.92,151.92,0.00,0.53,0.00,-1.21,0.01,-0.38,0.04,0.01,0.22,0.13,38.10,-0.04,1.76,0.83,40.97,-0.02,35.47,25.59,-0.06,-0.09,38.84,7.29,-0.77,-0.28,0.00,-0.30,100.00,36.99,50.13,38.22,37.29,33.92,12.41,1.94,0.23,0.52,-0.11,1.62,1.72,0.00,36.36,1.05,-0.24,34.80,-0.10,19.00,1.19,-0.25,-0.29,-0.73,No
